,name,main_category,sub_category,brand,number,tags,price,rating,rating_num,season,gender,like,view,sale,coordi,age18,age19_23,age24_28,age29_33,age34_39,age40,man,woman,img
260,폰테 릴렉스 핏 크루 넥 반팔 티셔츠 2팩,상의,반소매 티셔츠,MUSINSA STANDARD,MMATE409,"['분또', '레이어드', '이너', '분또티셔츠', '기본티', '라운드넥', '폰테티셔츠', '티셔츠', '폰테', '세트상품']","34,800원",4.8,7385,2021 S/S,['남'],"1,615",3.7천 회 이상,2.8천 개 이상,,15%,21%,24%,20%,10%,10%,91%,9%,https://image.msscdn.net/images/goods_img/20210719/2034139/2034139_1_500.jpg?t=20210720163627
261,헤비웨이트 릴렉스드 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS301-BK,"['쇼트슬리브', '릴렉스핏', '져지티셔츠', '헤비웨이트', '기본티', 'MU-T', '반소매', '반소매티셔츠']","17,900원",4.9,3594,2021 S/S,['남'],"1,651",4.1천 회 이상,2.9천 개 이상,['캐주얼'],12%,14%,28%,25%,13%,8%,94%,6%,https://image.msscdn.net/images/goods_img/20210312/1841336/1841336_1_500.jpg?t=20210325163431
262,N222UPB900 우븐 반팔/반바지 2PACK 세트 CARBON BLACK,상의,반소매 티셔츠,NATIONALGEOGRAPHIC,1461154,"['반팔티셔츠', '반팔티', '여름반팔티', '반팔', '티셔츠', '로고티셔츠', '22S/S컬렉션']","69,000원",4.8,584,2022 S/S,['남'],"4,061",4.4만 회 이상,2.6천 개 이상,['스포츠'],28%,14%,19%,12%,9%,18%,57%,43%,https://image.msscdn.net/images/goods_img/20220408/2476987/2476987_1_500.jpg?t=20220408154154
263,[WT]TMR-TH001 [반팔 레이어드 티셔츠],상의,반소매 티셔츠,TMAKER,RAD5TS1201WT,"['레이어드', '레이어드티', '레이어드티셔츠', '레이어드반팔', '반팔티셔츠', '반팔']","24,900원",4.7,1133,2022 ALL,['남'],"3,205",9.9천 회 이상,2.9천 개 이상,['캐주얼'],22%,25%,18%,12%,8%,15%,72%,28%,https://image.msscdn.net/images/goods_img/20200824/1561528/1561528_2_500.jpg?t=20200828183413
264,MATINKIM LOGO T-SHIRT,상의,반소매 티셔츠,MATIN KIM,M20FWT10,[],"41,000원",4.8,1550,,['여'],"7,533",1.4만 회 이상,2.7천 개 이상,"['시크', '캐주얼']",26%,35%,23%,7%,3%,6%,21%,79%,https://image.msscdn.net/images/goods_img/20201123/1698345/1698345_1_500.jpg?t=20201123154636
265,수피마 코튼 세미오버핏 티셔츠 (블랙),상의,반소매 티셔츠,COOR,CMN2TS01V-BLK,"['티셔츠', '반팔티', '반팔', '반팔티셔츠', '여름반팔티', '오버핏', '무지']","35,000원",4.9,7570,2022 S/S,['남'],"2,568",1.2만 회 이상,2.7천 개 이상,['댄디'],14%,21%,31%,20%,8%,6%,94%,6%,https://image.msscdn.net/images/goods_img/20210407/1885174/1885174_2_500.jpg?t=20220414184053
266,FLEX 7 OVER SIZE TEE BLACK,상의,반소매 티셔츠,AVANDRESS,20S58,"['남자반팔', '남자오버핏티', '루즈핏티셔츠', '오버핏반팔', '오버핏티셔츠', '7부티', '7부티셔츠']","34,000원",4.7,965,2020 S/S,['남'],"3,000",1.9만 회 이상,2.8천 개 이상,"['캐주얼', '댄디']",19%,21%,22%,16%,10%,12%,80%,20%,https://image.msscdn.net/images/goods_img/20200630/1501194/1501194_2_500.jpg?t=20220628153524
267,무지 모달머슬핏 반팔티 (화이트),상의,반소매 티셔츠,RVD,[1TS01],"['남성상의', '기본티', '반팔티셔츠', '머슬핏반팔티', '무지반팔티', '무지머슬핏반팔티', '운동복상의']","37,200원",4.8,2069,2020 F/W,['남'],"1,368",8.1천 회 이상,2.8천 개 이상,['스포츠'],18%,28%,29%,14%,5%,6%,93%,7%,https://image.msscdn.net/images/goods_img/20201116/1690352/1690352_3_500.jpg?t=20220628155831
268,헤리티지 세리프 로고 루즈핏 반팔티 (FE2RSE5101XBLK),상의,반소매 티셔츠,FILA,2500FE2RSE5101XBLK,"['로고티셔츠', '루즈핏', '반팔티', '반팔티셔츠', '티셔츠', '세리프로고', '온라인전용']","32,000원",4.7,16472,2020 S/S,"['남', '여']","13,455",5천 회 이상,2.9천 개 이상,"['골프', '스포츠']",22%,27%,25%,13%,6%,7%,62%,38%,https://image.msscdn.net/images/goods_img/20190329/999580/999580_2_500.jpg?t=20190405103738
269,[쿨탠다드] 우먼즈 베이식 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MWATS309-BK,"['여름티', '아스킨', '기능성', '무지티', '베이직티', '쿨탠다드', '무신사스탠다드우먼즈', 'MU-T', '서머아이템기획전', '반소매티셔츠']","15,900원",4.8,2932,2021 S/S,['여'],"2,262",7.8천 회 이상,2.8천 개 이상,"['포멀', '스포츠', '캐주얼']",17%,28%,28%,14%,5%,8%,8%,92%,https://image.msscdn.net/images/goods_img/20210430/1932038/1932038_1_500.jpg?t=20210503164703
270,Brushed Paint Tee White,상의,반소매 티셔츠,THISISNEVERTHAT,TN221TTSST04WH,"['여름반팔', '티셔츠', '여름반팔티', '반팔티', '반팔티추천', '그래픽']","45,000원",4.9,750,2022 S/S,['남'],"12,542",7.5만 회 이상,2.8천 개 이상,['스트릿'],41%,39%,12%,2%,1%,5%,42%,58%,https://image.msscdn.net/images/goods_img/20220420/2503213/2503213_1_500.jpg?t=20220420161912
271,NYC LOCATION T-SHIRT (BLACK) [LRQMCTA401M],상의,반소매 티셔츠,GROOVE RHYME,LRQMCTA401M,"['로고', '맨투맨', '반팔티', '오버사이즈', '오버핏', '티셔츠']","29,000원",4.7,5810,ALL S/S,"['남', '여']","7,209",7.2천 회 이상,2.7천 개 이상,,44%,23%,14%,6%,3%,10%,52%,48%,https://image.msscdn.net/images/goods_img/20190305/971731/971731_1_500.jpg?t=20210324103720
272,고스트 프린팅 자수 오버핏 반팔티,상의,반소매 티셔츠,DOMINANT,m1037_627860,"['그래픽티셔츠', '로고티셔츠', '반팔티', '오버핏', '그래픽', '오버핏반팔', '깡스타일리스트PICK']","53,000원",4.9,363,2021 S/S,"['남', '여']","5,873",4.3만 회 이상,2.6천 개 이상,['스트릿'],35%,26%,20%,9%,4%,6%,72%,28%,https://image.msscdn.net/images/goods_img/20210504/1936059/1936059_1_500.jpg?t=20210504110516
273,야숙 바시티 피그먼트 반팔티 블랙 차콜,상의,반소매 티셔츠,TRAVEL,TRTOSURS14UC5,"['라운드티', '반팔', '반팔티', '피그먼트', '반팔티셔츠', '오버핏반팔', '그래픽']","39,000원",4.8,1056,ALL S/S,"['남', '여']","4,044",1.1만 회 이상,2.6천 개 이상,"['스트릿', '캐주얼']",24%,31%,24%,12%,4%,5%,67%,33%,https://image.msscdn.net/images/goods_img/20210415/1899780/1899780_1_500.jpg?t=20210419162336
274,베스트 레이어드 반팔 티셔츠 네이비,상의,반소매 티셔츠,WHATITISNT,MG2202ST23NA,"['반팔티', '티셔츠', '반팔', '반팔티셔츠', '오버핏', '반팔니트', '니트']","49,000원",4.9,196,2022 S/S,"['남', '여']","6,612",7.9만 회 이상,2.6천 개 이상,['캐주얼'],65%,16%,10%,3%,1%,5%,74%,26%,https://image.msscdn.net/images/goods_img/20220413/2484366/2484366_1_500.jpg?t=20220413183138
275,PRDA DENIM PATCH CREWNECK TEE BLACK,상의,반소매 티셔츠,PRENDA,PRTTSURS03WC6,"['티셔츠추천', '반팔티셔츠', '여자반팔티', '반팔티', '반팔', '크롭']","45,000원",4.8,2426,2022 S/S,['여'],"6,669",2.7만 회 이상,2.6천 개 이상,['캐주얼'],22%,44%,24%,4%,1%,5%,3%,97%,https://image.msscdn.net/images/goods_img/20220401/2462039/2462039_1_500.jpg?t=20220408114232
276,수피마 코튼 프리미엄 티셔츠 WHITE,상의,반소매 티셔츠,INSILENCE,IM2B2TO01WH,"['무지', '반팔티', '반팔티셔츠', '수피마', '인사일런스티셔츠', '티셔츠', '수피마티셔츠']","34,000원",4.9,10868,2022 S/S,['남'],"3,281",5.1천 회 이상,2.6천 개 이상,"['댄디', '캐주얼']",19%,21%,29%,17%,9%,5%,92%,8%,https://image.msscdn.net/images/goods_img/20200403/1385208/1385208_4_500.jpg?t=20220322125629
277,락업 티 - 블랙 / ED6116,상의,반소매 티셔츠,ADIDAS,ED6116,"['그래픽', '락업', '로고티', '로고티셔즈', '반팔', '반팔티', '반팔티셔츠', '로고/레터링']","39,000원",4.7,2592,ALL,['남'],"12,743",6.8천 회 이상,2.7천 개 이상,['스포츠'],35%,21%,19%,9%,4%,12%,37%,63%,https://image.msscdn.net/images/goods_img/20190712/1094697/1094697_3_500.jpg?t=20210316091938
278,실켓 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS311-BK,"['기본티', '라운드넥', '루즈핏', '면티셔츠', '무지티', 'MU-T', '프리미엄컬렉션', '유아인착장상품', '반소매티셔츠']","30,900원",4.8,3217,2021 S/S,['남'],"3,031",5.9천 회 이상,2.6천 개 이상,"['스포츠', '캐주얼']",14%,14%,27%,23%,13%,9%,92%,8%,https://image.msscdn.net/images/goods_img/20210415/1901122/1901122_3_500.jpg?t=20210420153537
279,컬러 그라데이션 오버핏 반팔티셔츠 BLUE,상의,반소매 티셔츠,TRILLION,TR9SST003,"['그래픽', '루즈핏', '반팔티', '오버핏', '크루넥', '티셔츠', '숏슬리브']","42,000원",4.7,4029,2022 S/S,"['남', '여']","5,041",1.3만 회 이상,2.7천 개 이상,"['스트릿', '캐주얼']",22%,20%,24%,18%,8%,8%,72%,28%,https://image.msscdn.net/images/goods_img/20190328/997783/997783_6_500.jpg?t=20190509113243
280,우먼즈 베이식 크루 넥 반팔 티셔츠 [다크 네이비],상의,반소매 티셔츠,MUSINSA STANDARD,MWJTS202-DN,"['기본티', '라운드넥', '무신사스탠다드우먼즈', '무지티', '여름티', 'MU-T', '반소매', '반소매티셔츠']","12,900원",4.9,27543,,['여'],"3,032",5.1천 회 이상,2.6천 개 이상,['캐주얼'],17%,31%,28%,11%,4%,9%,6%,94%,https://image.msscdn.net/images/goods_img/20200427/1424103/1424103_2_500.jpg?t=20200630155545
